giorno;mese;progessivo;santo
20;01;6;san Vulfstano, vescovo di Worcester
20;01;7;beato Benedetto Ricasoli, eremita
20;01;8;sant'Enrico, vescovo di Uppsala e martire
20;01;9;santa Eustachio Calafato, vergine e badessa clarissa
20;01;10;santo Stefano Min Kuk-ka, catechista e martire
20;01;11;beato Cipriano Iwene Tansi, sacerdote cistercense
20;01;12;santa Maria Cristina dell'Immacolata Concezione,fondatrice delle Suore Vittime Espiatrici di Gesù Sacramentato.
21;01;1;sant'Agnese, vergine e martire
21;01;2;san Publio, vescovo di Atene
21;01;3;santi Fruttuoso, vescovo di Tarragona, Augurio ed Eulogio, diaconi, martiri di Tarragona
21;01;4;san Patroclo, martire a Troyes
21;01;5;sant'Epifanio, vescovo di Pavia
21;01;6;san Meginrado, sacerdote e monaco a Einsiedeln
21;01;7;beati Edoardo Stransham e Nicola Wheeler, sacerdoti e martiri
21;01;8;sant'Albano Roe, benedettino, e il beato Tommaso Green, sacerdoti e martiri
21;01;9;beata Giuseppa Maria di Sant'Agnese, vergine agostiniana
21;01;10;beati Giovanni Battista Turpin du Cormier e tredici compagni, sacerdoti e martiri
21;01;11;san Giovanni Yi-Yun, padre di famiglia, martire di Corea.
22;01;1;san Vincenzo, diacono di Saragozza e martire
22;01;2;san Valerio, vescovo di Saragozza
22;01;3;san Gaudenzio, primo vescovo di Novara
22;01;4;sant'Anastasio, monaco e martire in Persia
22;01;5;san Bernardo, vescovo di Vienne
22;01;6;san Domenico, abate di Sora
22;01;7;beata Maria Mancini, vedova, religiosa domenicana
22;01;8;beato Antonio della Chiesa, sacerdote domenicano
22;01;9;beato Guglielmo Patenson, sacerdote e martire
22;01;10;santi Francesco Gil de Federich e Matteo Alonso de Leciñana, sacerdoti domenicani e martiri
22;01;11;san Vincenzo Pallotti, sacerdote, fondatore della Società dell'Apostolato Cattolico
22;01;12;beato Guglielmo Giuseppe Chaminade, sacerdote, fondatore delle Figlie di Maria Immacolata e la Società di Maria
22;01;13;beata Laura Vicuña, vergine
22;01;14;beato Giuseppe Nascimbeni, sacerdote, fondatore delle Piccole Suore della Sacra Famiglia
